Date,Time,Station,Temperature,Humidity,Pressure,Wind_Speed,Wind_Direction_Deg,Wind_Direction_Label,Rainfall
2026-03-17,19:15:12,Balanagar SPCB,24.41,54.0,1011.0,1.97,64.0,NE,0.0
2026-03-17,19:15:12,HITEC City,23.73,55.0,1011.0,2.2,64.0,NE,0.0
2026-03-17,19:15:12,IDA Pashamylaram SPCB,23.31,59.0,1012.0,2.4,39.0,NE,0.0
2026-03-17,19:15:12,Sanathnagar SPCB,24.41,54.0,1011.0,1.97,64.0,NE,0.0
2026-03-17,19:15:12,US Consulate,23.61,55.0,1011.0,2.27,61.0,NE,0.1
2026-03-17,19:15:12,Uppal SPCB,24.16,56.0,1012.0,1.24,48.0,NE,0.0
2026-03-17,19:15:12,Zoo Park SPCB,23.82,56.0,1011.0,1.85,70.0,E,0.1
2026-03-18,19:14:43,Balanagar SPCB,20.47,65.0,1014.0,4.53,127.0,SE,0.0
2026-03-18,19:14:43,HITEC City,20.16,65.0,1014.0,4.45,126.0,SE,0.0
2026-03-18,19:14:43,IDA Pashamylaram SPCB,21.34,62.0,1014.0,5.14,133.0,SE,0.0
2026-03-18,19:14:43,Sanathnagar SPCB,20.4,65.0,1014.0,4.53,127.0,SE,0.0
2026-03-18,19:14:43,US Consulate,20.25,64.0,1014.0,4.5,126.0,SE,0.0
2026-03-18,19:14:43,Uppal SPCB,20.74,70.0,1014.0,3.88,122.0,SE,0.0
2026-03-18,19:14:43,Zoo Park SPCB,20.65,83.0,1014.0,1.54,0.0,N,0.0
2026-03-19,19:10:42,Balanagar SPCB,24.96,48.0,1012.0,4.52,133.0,SE,0.0
2026-03-19,19:10:42,HITEC City,24.63,47.0,1012.0,4.33,134.0,SE,0.0
2026-03-19,19:10:42,IDA Pashamylaram SPCB,24.98,45.0,1011.0,3.25,140.0,SE,0.0
2026-03-19,19:10:42,Sanathnagar SPCB,24.96,48.0,1012.0,4.52,133.0,SE,0.0
2026-03-19,19:10:42,US Consulate,24.69,47.0,1012.0,4.16,135.0,SE,0.0
2026-03-19,19:10:42,Uppal SPCB,24.53,54.0,1012.0,4.36,139.0,SE,0.12
2026-03-19,19:10:42,Zoo Park SPCB,24.38,52.0,1012.0,4.6,137.0,SE,0.0
2026-03-20,19:02:03,Balanagar SPCB,25.45,44.0,1010.0,2.43,133.0,SE,0.0
2026-03-20,19:02:03,HITEC City,24.92,44.0,1010.0,2.39,125.0,SE,0.0
2026-03-20,19:02:03,IDA Pashamylaram SPCB,25.64,40.0,1010.0,1.78,93.0,E,0.0
2026-03-20,19:02:03,Sanathnagar SPCB,25.45,44.0,1010.0,2.43,133.0,SE,0.0
2026-03-20,19:02:03,US Consulate,24.94,43.0,1010.0,2.3,120.0,SE,0.0
2026-03-20,19:02:03,Uppal SPCB,25.46,47.0,1011.0,2.92,135.0,SE,0.0
2026-03-20,19:02:03,Zoo Park SPCB,24.87,46.0,1010.0,2.8,132.0,SE,0.0
2026-03-21,18:49:39,Balanagar SPCB,23.47,29.0,1012.0,3.91,53.0,NE,0.0
2026-03-21,18:49:39,HITEC City,23.16,29.0,1011.0,3.3,45.0,NE,0.0
2026-03-21,18:49:39,IDA Pashamylaram SPCB,26.07,31.0,1011.0,2.58,23.0,NE,0.0
2026-03-21,18:49:39,Sanathnagar SPCB,23.4,29.0,1012.0,3.91,53.0,NE,0.0
2026-03-21,18:49:39,US Consulate,23.25,30.0,1011.0,3.04,39.0,NE,0.0
2026-03-21,18:49:39,Uppal SPCB,23.74,32.0,1011.0,3.68,48.0,NE,0.0
2026-03-21,18:49:39,Zoo Park SPCB,23.65,83.0,1011.0,2.06,110.0,E,0.0
2026-03-22,18:50:38,Balanagar SPCB,24.47,34.0,1012.0,2.82,84.0,E,0.0
2026-03-22,18:50:38,HITEC City,24.16,33.0,1012.0,3.04,84.0,E,0.0
2026-03-22,18:50:38,IDA Pashamylaram SPCB,26.28,32.0,1012.0,3.68,93.0,E,0.0
