Date,Time,Station,Temperature,Humidity,Pressure,Wind_Speed,Wind_Direction_Deg,Wind_Direction_Label,Rainfall
2026-03-17,17:40:09,Balanagar SPCB,28.97,48,1007,4.63,130,SE,0.0
2026-03-17,17:40:09,HITEC City,28.66,48,1007,4.63,130,SE,0.0
2026-03-17,17:40:09,IDA Pashamylaram SPCB,29.0,29,1006,5.94,125,SE,0.0
2026-03-17,17:40:09,Sanathnagar SPCB,28.9,48,1007,4.63,130,SE,0.0
2026-03-17,17:40:09,US Consulate,28.76,48,1007,4.63,130,SE,0.0
2026-03-17,17:40:09,Uppal SPCB,29.25,48,1007,4.63,130,SE,0.0
2026-03-17,17:40:09,Zoo Park SPCB,29.16,48,1007,4.63,130,SE,0.0
2026-03-17,17:57:45,Balanagar SPCB,28.97,48,1007,4.63,130,SE,0.0
2026-03-17,17:57:45,HITEC City,28.66,48,1007,4.63,130,SE,0.0
2026-03-17,17:57:45,IDA Pashamylaram SPCB,29.0,29,1006,5.94,125,SE,0.0
2026-03-17,17:57:45,Sanathnagar SPCB,28.9,48,1007,4.63,130,SE,0.0
2026-03-17,17:57:45,US Consulate,28.76,48,1007,4.63,130,SE,0.0
2026-03-17,17:57:45,Uppal SPCB,29.25,48,1007,4.63,130,SE,0.0
2026-03-17,17:57:45,Zoo Park SPCB,29.16,48,1007,4.63,130,SE,0.0
2026-03-17,12:39:52,Balanagar SPCB,29.99,30,1007,7.2,116,SE,0.0
2026-03-17,12:39:52,HITEC City,29.04,32,1007,7.29,112,E,0.0
2026-03-17,12:39:52,IDA Pashamylaram SPCB,29.13,32,1007,7.29,122,SE,0.0
2026-03-17,12:39:52,Sanathnagar SPCB,29.99,30,1007,7.2,116,SE,0.0
2026-03-17,12:39:52,US Consulate,28.89,33,1007,7.38,112,E,0.0
2026-03-17,12:39:52,Uppal SPCB,30.31,31,1007,7.82,114,SE,0.0
2026-03-17,12:39:52,Zoo Park SPCB,28.91,35,1007,7.01,103,E,0.0
